Date,GLD,SP_open,DJ_open,EG_open,OF_Open,OS_Open,SF_Open,USB_Open,PLT_Open,PLD_Open,USDI_Open,GDX_Open,USO_Open
10-02-2014,122.800003,179.699997,15793.62988,32.650002,109.75,100.1,44544,2.684,1383.65,709.2,80.82,24.23,35.689999
11-02-2014,123.379997,180.160004,15804.16992,34.049999,108.52,99.98,44780,2.682,1385.6,715.6,80.61,24.99,35.610001
12-02-2014,124.400002,182.25,15993.04004,35.150002,108.78,100.49,44558,2.72,1387.55,717.5,80.705,25.629999,36.07
13-02-2014,124.699997,180.839996,15946.99023,33.400002,108.68,100.3,44775,2.786,1405,727.1,80.745,24.83,35.740002
14-02-2014,126.989998,182.839996,16018.08008,36.099998,108.58,100.37,44999,2.739,1414.7,730.8,80.35,26.42,35.709999
18-02-2014,127.419998,184.179993,16153.96973,36.150002,109.07,100.35,47499,2.75,1431,739.9,80.2,26.57,36.299999
19-02-2014,127.260002,183.759995,16126.23047,36.349998,110.55,103.16,47900,2.707,1423.25,738.4,80.01,26.280001,36.700001
20-02-2014,126.75,183.270004,16044.15039,35.25,110.39,103.41,47592,2.734,1414.95,732.6,80.215,25.790001,36.900002
21-02-2014,127.57,184.449997,16135.91992,36.349998,110.5,102.89,47380,2.755,1417.1,736.4,80.355,26.709999,36.75
24-02-2014,128.509995,184.279999,16102.26953,36,109.65,102.31,47310,2.736,1427.3,741.7,80.275,26.9,36.689999
25-02-2014,128.619995,185.059998,16207.33984,34.849998,110.64,102.85,47850,2.744,1435,742.7,80.255,26.67,36.470001
26-02-2014,128.490005,185.110001,16180.36035,34.950001,109.56,102.07,47851,2.707,1439.7,738.7,80.16,26.1,36.740002
27-02-2014,128.399994,184.580002,16197.7002,34.299999,109.41,102.61,46804,2.673,1429.45,729.9,80.42,26.139999,36.639999
03-03-2014,130,184.649994,16321.70996,34.849998,109.44,103.02,46362,2.61,1452.8,747.5,79.855,26.67,37.389999
04-03-2014,128.539993,186.789993,16169.32031,33.900002,111.16,104.92,46992,2.605,1458.45,746.9,80.1,25.959999,37.18
05-03-2014,128.710007,187.740005,16395.88086,34.25,109.17,103.4,46511,2.692,1458.6,772.4,80.14,26.15,36.950001
06-03-2014,129.710007,188.210007,16360.55957,35.099998,107.66,101.08,46953,2.703,1475.15,773,80.12,26.700001,36.130001
07-03-2014,128.25,188.960007,16424.5293,34.450001,108.3,102.11,47134,2.744,1484.1,781.55,79.675,26.360001,36.66
10-03-2014,128.880005,187.970001,16453.09961,34.25,108.73,102.81,45880,2.79,1478.7,775.8,79.685,26.18,36.279999
11-03-2014,130.009995,188.440002,16419.39063,34.75,107.88,100.97,45868,2.783,1478.45,770.95,79.77,26.26,36.18
12-03-2014,131.559998,186.320007,16350.66992,34.849998,108.41,99.56,46050,2.77,1468.1,769,79.8,26.549999,35.27
13-03-2014,131.690002,187.839996,16341.54981,35.549999,108.26,98.13,46829,2.734,1476.2,776.6,79.64,26.85,35.240002
14-03-2014,133.679993,184.850006,16106.32031,37.150002,107.25,98.28,46881,2.647,1478.75,779.45,79.605,27.969999,35.470001
17-03-2014,132.729996,185.589996,16066.37012,36.650002,108.55,99.43,46999,2.642,1473.5,775.6,79.425,27.549999,35.360001
18-03-2014,130.389999,186.710007,16245.92969,33.75,106.4,98.03,46600,2.694,1468.35,771.85,79.515,26.42,35.220001
19-03-2014,129.550003,187.679993,16335.70996,33.799999,106.6,99.72,45990,2.674,1459.55,769.7,79.52,26.219999,35.610001
20-03-2014,127.779999,186.25,16221.98047,31.549999,105.9,100.39,45729,2.768,1450.25,756,80.18,25.219999,35.580002
21-03-2014,129.039993,187.710007,16332.69043,32.099998,106.22,98.71,44871,2.766,1436.5,798,80.335,25.85,35.759998
24-03-2014,126.870003,186.839996,16303.28027,30.9,107.01,99.56,44510,2.757,1440.7,796.5,80.27,25.110001,36.139999
25-03-2014,126.440002,186.369995,16279.2002,30.299999,106.59,99.52,43899,2.735,1434.55,794.35,80.085,24.549999,35.970001
26-03-2014,126.269997,187.039993,16370.70996,30,106.97,99.21,43528,2.75,1423.7,782.7,80.12,24.5,36
27-03-2014,125.059998,184.75,16268.66992,28.799999,107,100.37,43109,2.695,1415.3,773,80.165,23.459999,36.5
28-03-2014,124.230003,185.110001,16267.76953,28.75,107.73,101.47,42906,2.685,1404.15,757.45,80.295,23.700001,36.790001
31-03-2014,124.519997,186.669998,16324.21973,29.1,108,101.73,42701,2.724,1414.35,773.1,80.35,23.959999,36.59
01-04-2014,123.709999,187.619995,16458.05078,28.15,107.66,101.56,42743,2.726,1417.5,780,80.255,23.719999,36.450001
02-04-2014,124.410004,188.490005,16532.80078,29.049999,105.32,99.67,42550,2.757,1425.8,781.05,80.245,24.1,35.810001
03-04-2014,123.75,189.169998,16572.35938,28.799999,104.59,99.34,43091,2.806,1437.7,786.8,80.38,24.1,35.84
04-04-2014,125.199997,189.660004,16576.01953,29.9,106.17,100.5,43108,2.799,1440.1,789.95,80.6,24.629999,36.48
07-04-2014,125.07,185.949997,16414.15039,29.700001,106.35,100.94,42970,2.723,1449.35,780,80.57,24.18,36.200001
08-04-2014,126.339996,184.259995,16245.16016,30.200001,105.97,100.75,43300,2.708,1429.3,767.75,80.345,24.68,36.459999
09-04-2014,125.459999,185.600006,16256.37012,29.799999,107.5,102.36,43201,2.684,1441.8,776.45,79.875,24.6,36.98
10-04-2014,126.949997,187.080002,16437.24023,30.25,107.9,103.49,42817,2.695,1443.8,782.55,79.615,25.24,37.23
11-04-2014,127.040001,182.139999,16168.87012,29.35,107.35,103.39,43405,2.641,1454.9,791.55,79.48,24.639999,37.200001
14-04-2014,127.800003,182.929993,16028.29004,29.9,107.42,103.61,43040,2.603,1467.2,809,79.63,24.57,37.34
15-04-2014,124.790001,183.320007,16173.49023,29.15,108.92,103.67,43050,2.646,1466.4,809.15,79.85,23.83,37.380001
16-04-2014,125.370003,185.470001,16266.23047,29,109.43,103.81,42259,2.626,1442.25,795,79.895,24.040001,37.779999
17-04-2014,125.379997,185.880005,16424.14063,28.65,109.6,103.98,42336,2.632,1440.65,801.9,79.87,23.799999,37.509998
21-04-2014,124.07,186.440002,16408.91992,28.75,109.76,104.76,42250,2.719,1412.8,795.1,79.94,23.58,37.59
22-04-2014,124.150002,187.229996,16449.38086,28.450001,109.94,104.36,42002,2.717,1404.8,780.4,80.065,23.540001,37.209999
